time	V(n002)	I(Re)	I(Rs)
7.388482946395961e-02	5.421327e-04	-1.355333e-09	-7.540100e-16
7.516831160681677e-02	4.380535e-04	-1.095135e-09	-6.087306e-16
7.645179374967392e-02	3.538248e-04	-8.845625e-10	-4.913127e-16
7.773527589253108e-02	2.894465e-04	-7.236168e-10	-4.017563e-16
7.901875803538824e-02	2.449187e-04	-6.122972e-10	-3.400614e-16
8.000000000000000e-02	2.106064e-04	-5.265163e-10	-2.923687e-16
8.002246143013639e-02	3.205551e-04	1.323701e-08	1.403839e-08
8.005241000365156e-02	4.971731e-04	3.151332e-08	3.275625e-08
8.009439828571359e-02	8.116357e-04	5.696984e-08	5.899893e-08
8.017837484983767e-02	1.603625e-03	1.074752e-07	1.114843e-07
8.023204687175184e-02	2.228298e-03	1.394585e-07	1.450293e-07
8.029265595617166e-02	3.102074e-03	1.751548e-07	1.829100e-07
8.040000000000000e-02	4.864113e-03	2.378397e-07	2.500000e-07
8.078235950512398e-02	1.024185e-02	2.243954e-07	2.500000e-07
8.116471901024797e-02	1.535337e-02	2.116166e-07	2.500000e-07
8.154707851537195e-02	2.019867e-02	1.995033e-07	2.500000e-07
8.192943802049593e-02	2.477775e-02	1.880556e-07	2.500000e-07
8.231179752561991e-02	2.909060e-02	1.772734e-07	2.500000e-07
8.269415703074390e-02	3.313724e-02	1.671568e-07	2.500000e-07
8.307651653586788e-02	3.691766e-02	1.577058e-07	2.499999e-07
8.326558560217247e-02	3.871814e-02	1.532046e-07	2.499999e-07
8.345465466847705e-02	4.047158e-02	1.488210e-07	2.499999e-07
8.364372373478164e-02	4.217797e-02	1.445550e-07	2.499999e-07
8.383279280108624e-02	4.383731e-02	1.404066e-07	2.499999e-07
8.402186186739083e-02	4.544961e-02	1.363759e-07	2.499999e-07
8.421093093369542e-02	4.701486e-02	1.324627e-07	2.499999e-07
8.440000000000000e-02	4.853307e-02	1.286672e-07	2.499999e-07
8.453671875000000e-02	4.858192e-02	4.309589e-08	1.645507e-07
8.464375000000000e-02	4.811355e-02	-2.262773e-08	9.765615e-08
8.480000000000000e-02	4.692917e-02	-1.173230e-07	-9.827486e-14
8.541941964285715e-02	4.275009e-02	-1.068753e-07	-8.567215e-14
8.603883928571431e-02	3.887772e-02	-9.719436e-08	-7.447284e-14
8.665825892857146e-02	3.531205e-02	-8.828019e-08	-6.467696e-14
8.727767857142860e-02	3.205310e-02	-8.013280e-08	-5.628449e-14
8.789709821428575e-02	2.910086e-02	-7.275219e-08	-4.929544e-14
8.851651785714290e-02	2.645532e-02	-6.613835e-08	-4.370980e-14
8.913593750000005e-02	2.411650e-02	-6.029130e-08	-3.952758e-14
8.977767857142864e-02	2.189588e-02	-5.473974e-08	-3.530082e-14
9.041941964285721e-02	1.984309e-02	-4.960776e-08	-3.146073e-14
9.106116071428580e-02	1.795813e-02	-4.489536e-08	-2.800731e-14
9.170290178571437e-02	1.624100e-02	-4.060254e-08	-2.494056e-14
9.234464285714296e-02	1.469171e-02	-3.672929e-08	-2.226048e-14
9.298638392857153e-02	1.331024e-02	-3.327562e-08	-1.996707e-14
9.362812500000012e-02	1.209660e-02	-3.024152e-08	-1.806033e-14
9.429776785714299e-02	1.093853e-02	-2.734633e-08	-1.621791e-14
9.496741071428585e-02	9.870840e-03	-2.467711e-08	-1.453176e-14
9.563705357142872e-02	8.893541e-03	-2.223386e-08	-1.300186e-14
9.630669642857159e-02	8.006629e-03	-2.001658e-08	-1.162823e-14
9.697633928571445e-02	7.210105e-03	-1.802527e-08	-1.041086e-14
9.764598214285732e-02	6.503969e-03	-1.625993e-08	-9.349758e-15
9.831562500000018e-02	5.888220e-03	-1.472056e-08	-8.444916e-15
9.906897321428591e-02	5.261036e-03	-1.315260e-08	-7.520456e-15
9.982232142857163e-02	4.687260e-03	-1.171816e-08	-6.677505e-15
1.005756696428574e-01	4.166893e-03	-1.041724e-08	-5.916063e-15
1.013290178571431e-01	3.699934e-03	-9.249840e-09	-5.236128e-15
1.020823660714288e-01	3.286384e-03	-8.215964e-09	-4.637703e-15
1.028357142857145e-01	2.926242e-03	-7.315609e-09	-4.120786e-15
1.035890625000003e-01	2.619508e-03	-6.548775e-09	-3.685377e-15
1.045098214285717e-01	2.286283e-03	-5.715711e-09	-3.211463e-15
1.054305803571431e-01	1.985746e-03	-4.964368e-09	-2.784641e-15
1.063513392857146e-01	1.717898e-03	-4.294747e-09	-2.404910e-15
1.072720982142860e-01	1.482737e-03	-3.706846e-09	-2.072271e-15
1.081928571428575e-01	1.280266e-03	-3.200666e-09	-1.786723e-15
1.091136160714289e-01	1.110482e-03	-2.776208e-09	-1.548266e-15
1.100343750000004e-01	9.733875e-04	-2.433470e-09	-1.356901e-15
1.113178571428575e-01	8.097713e-04	-2.024429e-09	-1.128055e-15
1.126013392857147e-01	6.660038e-04	-1.665010e-09	-9.270688e-16
1.138848214285718e-01	5.420850e-04	-1.355213e-09	-7.539421e-16
1.151683035714290e-01	4.380149e-04	-1.095038e-09	-6.086749e-16
1.164517857142862e-01	3.537936e-04	-8.844845e-10	-4.912672e-16
1.177352678571433e-01	2.894210e-04	-7.235530e-10	-4.017189e-16
1.190187500000005e-01	2.448972e-04	-6.122433e-10	-3.400302e-16
1.200000000000000e-01	2.105876e-04	-5.264693e-10	-2.923416e-16
1.200224999999976e-01	3.207505e-04	1.326062e-08	1.406250e-08
1.200524999999944e-01	4.977405e-04	3.156815e-08	3.281250e-08
1.200945014032469e-01	8.124424e-04	5.703227e-08	5.906337e-08
1.201785042097519e-01	1.604890e-03	1.075529e-07	1.115651e-07
1.202319943869901e-01	2.227711e-03	1.394272e-07	1.449965e-07
1.202930196455235e-01	3.107732e-03	1.753679e-07	1.831373e-07
